offer_id,brand,oem,name,quantity,price,stock
MV1028F,Mavico,MV1028F,Колодки тормозные передние Lada Vesta,4,500.00,37
MV1029F,Mavico,MV1029F,Колодки тормозные передние Lada Vesta NG / Iskra,4,1500.00,12
DBA42312,DBA,DBA42312,Диск тормозной передний 42312 Toyota Land Cruiser,2,990.00,4
MF1041,Mavico,MF1041,Фильтр масляный MF-1041 Hyundai Solaris,1,250.00,0
AF2205,Mavico,AF2205,Фильтр воздушный Lada Largus,1,390.50,58
BD5510,Mavico,8200123456,Диск тормозной задний BD5510 Renault Logan OEM,2,200.00,9
CF3300,Mavico,CF3300,Фильтр салонный CF-3300 угольный VW Polo,1,450.00,21
WB01,Деталиус,WB01,Щетки стеклоочистителя 600мм/400мм,1,990.00,0
MV3011R,Mavico,21013502090,Колодки тормозные задние Granta барабанные OEM 2101-3502090,1,890.00,15
TP7788,Mavico,TP7788,Автополотенце из микрофибры 40х40,3,350.00,240
DBA4000,DBA,DBA4000,Диск тормозной 4000 series Nissan Patrol,2,500.00,2
